algo,k_fold,time_running,time,acc,dataset,pc,-1_precision,-1_recall,-1_f1-score,-1_support,1_precision,1_recall,1_f1-score,1_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
SIL,5,1671746484,3.1203460693359375,0.25,westEast,DESKTOP-KB1MVGV,0.0,0.0,0.0,2,0.3333333333333333,0.5,0.4,2,0.16666666666666666,0.25,0.2,4,0.16666666666666666,0.25,0.2,4
STK,1,1671746484,0.015671491622924805,0.75,westEast,DESKTOP-KB1MVGV,1.0,0.5,0.6666666666666666,2,0.6666666666666666,1.0,0.8,2,0.8333333333333333,0.75,0.7333333333333334,4,0.8333333333333333,0.75,0.7333333333333334,4
STK,2,1671746485,0.6507735252380371,0.25,westEast,DESKTOP-KB1MVGV,0.3333333333333333,0.5,0.4,2,0.0,0.0,0.0,2,0.16666666666666666,0.25,0.2,4,0.16666666666666666,0.25,0.2,4
STK,3,1671746486,1.325021505355835,0.5,westEast,DESKTOP-KB1MVGV,0.5,1.0,0.6666666666666666,2,0.0,0.0,0.0,2,0.25,0.5,0.3333333333333333,4,0.25,0.5,0.3333333333333333,4
STK,4,1671746486,1.9640181064605713,0.25,westEast,DESKTOP-KB1MVGV,0.0,0.0,0.0,2,0.3333333333333333,0.5,0.4,2,0.16666666666666666,0.25,0.2,4,0.16666666666666666,0.25,0.2,4
STK,5,1671746487,2.6310930252075195,0.75,westEast,DESKTOP-KB1MVGV,1.0,0.5,0.6666666666666666,2,0.6666666666666666,1.0,0.8,2,0.8333333333333333,0.75,0.7333333333333334,4,0.8333333333333333,0.75,0.7333333333333334,4
NSK,1,1671746488,0.01765894889831543,0.5,westEast,DESKTOP-KB1MVGV,0.0,0.0,0.0,2,0.5,1.0,0.6666666666666666,2,0.25,0.5,0.3333333333333333,4,0.25,0.5,0.3333333333333333,4
NSK,2,1671746488,0.6746964454650879,0.5,westEast,DESKTOP-KB1MVGV,0.5,0.5,0.5,2,0.5,0.5,0.5,2,0.5,0.5,0.5,4,0.5,0.5,0.5,4
NSK,3,1671746489,1.3986942768096924,0.5,westEast,DESKTOP-KB1MVGV,0.5,0.5,0.5,2,0.5,0.5,0.5,2,0.5,0.5,0.5,4,0.5,0.5,0.5,4
NSK,4,1671746490,2.1776885986328125,0.25,westEast,DESKTOP-KB1MVGV,0.0,0.0,0.0,2,0.3333333333333333,0.5,0.4,2,0.16666666666666666,0.25,0.2,4,0.16666666666666666,0.25,0.2,4
NSK,5,1671746491,3.1280643939971924,0.75,westEast,DESKTOP-KB1MVGV,1.0,0.5,0.6666666666666666,2,0.6666666666666666,1.0,0.8,2,0.8333333333333333,0.75,0.7333333333333334,4,0.8333333333333333,0.75,0.7333333333333334,4
MISVM,1,1671746492,0.3021972179412842,0.8947368421052632,musk1,DESKTOP-KB1MVGV,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.9,0.9,0.9,10,0.8944444444444444,0.8944444444444444,0.8944444444444444,19,0.8947368421052632,0.8947368421052632,0.8947368421052632,19
MISVM,2,1671746493,1.1882145404815674,0.7368421052631579,musk1,DESKTOP-KB1MVGV,0.7,0.7777777777777778,0.7368421052631577,9,0.7777777777777778,0.7,0.7368421052631577,10,0.7388888888888889,0.7388888888888889,0.7368421052631577,19,0.7409356725146199,0.7368421052631579,0.7368421052631577,19
MISVM,3,1671746494,2.0724265575408936,0.8888888888888888,musk1,DESKTOP-KB1MVGV,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,18,0.8888888888888888,0.8888888888888888,0.8888888888888888,18
MISVM,4,1671746495,2.974161148071289,0.8333333333333334,musk1,DESKTOP-KB1MVGV,1.0,0.6666666666666666,0.8,9,0.75,1.0,0.8571428571428571,9,0.875,0.8333333333333333,0.8285714285714285,18,0.875,0.8333333333333334,0.8285714285714286,18
MISVM,5,1671746496,4.031040191650391,0.8888888888888888,musk1,DESKTOP-KB1MVGV,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,18,0.8888888888888888,0.8888888888888888,0.8888888888888888,18
miSVM,1,1671746497,0.4288172721862793,0.8947368421052632,musk1,DESKTOP-KB1MVGV,1.0,0.7777777777777778,0.8750000000000001,9,0.8333333333333334,1.0,0.9090909090909091,10,0.9166666666666667,0.8888888888888888,0.8920454545454546,19,0.9122807017543861,0.8947368421052632,0.8929425837320574,19
miSVM,2,1671746498,1.5620930194854736,0.7894736842105263,musk1,DESKTOP-KB1MVGV,0.7777777777777778,0.7777777777777778,0.7777777777777778,9,0.8,0.8,0.8000000000000002,10,0.788888888888889,0.788888888888889,0.788888888888889,19,0.7894736842105263,0.7894736842105263,0.7894736842105264,19
miSVM,3,1671746499,2.5810348987579346,0.8888888888888888,musk1,DESKTOP-KB1MVGV,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,18,0.8888888888888888,0.8888888888888888,0.8888888888888888,18
miSVM,4,1671746500,3.7820310592651367,0.8888888888888888,musk1,DESKTOP-KB1MVGV,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,18,0.8888888888888888,0.8888888888888888,0.8888888888888888,18
miSVM,5,1671746501,5.074032783508301,0.8888888888888888,musk1,DESKTOP-KB1MVGV,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,18,0.8888888888888888,0.8888888888888888,0.8888888888888888,18
sbMIL,1,1671746502,0.1829993724822998,0.8947368421052632,musk1,DESKTOP-KB1MVGV,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.9,0.9,0.9,10,0.8944444444444444,0.8944444444444444,0.8944444444444444,19,0.8947368421052632,0.8947368421052632,0.8947368421052632,19
sbMIL,2,1671746503,1.091003656387329,0.47368421052631576,musk1,DESKTOP-KB1MVGV,0.47368421052631576,1.0,0.6428571428571429,9,0.0,0.0,0.0,10,0.23684210526315788,0.5,0.32142857142857145,19,0.22437673130193903,0.47368421052631576,0.3045112781954888,19
sbMIL,3,1671746504,1.9019417762756348,0.6666666666666666,musk1,DESKTOP-KB1MVGV,0.6153846153846154,0.8888888888888888,0.7272727272727274,9,0.8,0.4444444444444444,0.5714285714285714,9,0.7076923076923077,0.6666666666666666,0.6493506493506493,18,0.7076923076923077,0.6666666666666666,0.6493506493506493,18
sbMIL,4,1671746505,2.789069414138794,0.8333333333333334,musk1,DESKTOP-KB1MVGV,0.8,0.8888888888888888,0.8421052631578948,9,0.875,0.7777777777777778,0.823529411764706,9,0.8375,0.8333333333333333,0.8328173374613004,18,0.8374999999999999,0.8333333333333334,0.8328173374613004,18
sbMIL,5,1671746506,3.675978660583496,0.7222222222222222,musk1,DESKTOP-KB1MVGV,0.6428571428571429,1.0,0.782608695652174,9,1.0,0.4444444444444444,0.6153846153846153,9,0.8214285714285714,0.7222222222222222,0.6989966555183946,18,0.8214285714285715,0.7222222222222222,0.6989966555183946,18
SIL,1,1671746507,0.08830142021179199,0.8421052631578947,musk1,DESKTOP-KB1MVGV,1.0,0.6666666666666666,0.8,9,0.7692307692307693,1.0,0.8695652173913044,10,0.8846153846153846,0.8333333333333333,0.8347826086956522,19,0.8785425101214576,0.8421052631578947,0.836613272311213,19
SIL,2,1671746507,0.9427578449249268,0.8947368421052632,musk1,DESKTOP-KB1MVGV,1.0,0.7777777777777778,0.8750000000000001,9,0.8333333333333334,1.0,0.9090909090909091,10,0.9166666666666667,0.8888888888888888,0.8920454545454546,19,0.9122807017543861,0.8947368421052632,0.8929425837320574,19
SIL,3,1671746508,1.8758094310760498,0.9444444444444444,musk1,DESKTOP-KB1MVGV,1.0,0.8888888888888888,0.9411764705882353,9,0.9,1.0,0.9473684210526316,9,0.95,0.9444444444444444,0.9442724458204335,18,0.9500000000000001,0.9444444444444444,0.9442724458204333,18
SIL,4,1671746509,2.9659981727600098,0.8333333333333334,musk1,DESKTOP-KB1MVGV,1.0,0.6666666666666666,0.8,9,0.75,1.0,0.8571428571428571,9,0.875,0.8333333333333333,0.8285714285714285,18,0.875,0.8333333333333334,0.8285714285714286,18
SIL,5,1671746510,3.8900091648101807,0.8888888888888888,musk1,DESKTOP-KB1MVGV,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,18,0.8888888888888888,0.8888888888888888,0.8888888888888888,18
STK,1,1671746511,0.03187727928161621,0.9473684210526315,musk1,DESKTOP-KB1MVGV,1.0,0.8888888888888888,0.9411764705882353,9,0.9090909090909091,1.0,0.9523809523809523,10,0.9545454545454546,0.9444444444444444,0.9467787114845938,19,0.9521531100478469,0.9473684210526315,0.9470735662686127,19
STK,2,1671746513,1.248704433441162,0.8947368421052632,musk1,DESKTOP-KB1MVGV,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.9,0.9,0.9,10,0.8944444444444444,0.8944444444444444,0.8944444444444444,19,0.8947368421052632,0.8947368421052632,0.8947368421052632,19
STK,3,1671746514,2.1960721015930176,0.9444444444444444,musk1,DESKTOP-KB1MVGV,1.0,0.8888888888888888,0.9411764705882353,9,0.9,1.0,0.9473684210526316,9,0.95,0.9444444444444444,0.9442724458204335,18,0.9500000000000001,0.9444444444444444,0.9442724458204333,18
STK,4,1671746515,3.0674209594726562,1.0,musk1,DESKTOP-KB1MVGV,1.0,1.0,1.0,9,1.0,1.0,1.0,9,1.0,1.0,1.0,18,1.0,1.0,1.0,18
STK,5,1671746515,4.061131954193115,0.9444444444444444,musk1,DESKTOP-KB1MVGV,1.0,0.8888888888888888,0.9411764705882353,9,0.9,1.0,0.9473684210526316,9,0.95,0.9444444444444444,0.9442724458204335,18,0.9500000000000001,0.9444444444444444,0.9442724458204333,18
